ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,MonitoringLocationIdentifier,SampleCollectionMethod/MethodName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName
Water,Groundwater,7/24/2009,USGS-194100156015301,Grab sample  (dip),Not Detected,Albuterol,Dissolved,NA,NA,"Pharmaceuticals, wf, Sch 2080",0.06,ug/l,"Kaloko Anchialine Pool 53H, HI",Spring,20010000,19.68322222,-156.0313333,NAD83,16,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL
Water,Groundwater,12/1/2009,USGS-194120156013501,Submersible pump,Not Detected,Albuterol,Dissolved,NA,NA,"Pharmaceuticals, wf, Sch 2080",0.08,ug/l,"8-4161-02 KAHO Well 2, HI",Well,20010000,19.68584444,-156.0236139,NAD83,53.33,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,7/23/2009,USGS-194120156013501,Submersible pump,Not Detected,Albuterol,Dissolved,NA,NA,"Pharmaceuticals, wf, Sch 2080",0.06,ug/l,"8-4161-02 KAHO Well 2, HI",Well,20010000,19.68584444,-156.0236139,NAD83,53.33,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Finished Water,7/27/2009,USGS-194122156011801,Grab sample at water-supply tap,Not Detected,Albuterol,Dissolved,NA,NA,"Pharmaceuticals, wf, Sch 2080",0.06,ug/l,"Kaloko National Park Office, HI",Facility: Water-distribution system,20010000,19.68933333,-156.0215278,NAD83,NA,NA,NA,NA,NA,NA
Water,Surface Water,7/28/2009,USGS-194122156015901,Grab sample  (dip),Not Detected,Albuterol,Dissolved,NA,NA,"Pharmaceuticals, wf, Sch 2080",0.06,ug/l,"North Kaloko fishpond G18, HI",Estuary,20010000,19.68955556,-156.0331667,NAD83,10,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL
Water,Groundwater,7/23/2009,USGS-194125156015501,Submersible pump,Not Detected,Albuterol,Dissolved,NA,NA,"Pharmaceuticals, wf, Sch 2080",0.06,ug/l,"8-4161-01 KAHO Well 3, HI",Well,20010000,19.68723889,-156.0291639,NAD83,22.96,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,7/24/2009,USGS-194125156020501,Grab sample  (dip),Not Detected,Albuterol,Dissolved,NA,NA,"Pharmaceuticals, wf, Sch 2080",0.06,ug/l,"Kaloko Anchialine Pool 144, HI",Spring,20010000,19.69033333,-156.0346944,NAD83,6,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL
Water,Groundwater,7/24/2009,USGS-194127156020401,Submersible pump,Not Detected,Albuterol,Dissolved,NA,NA,"Pharmaceuticals, wf, Sch 2080",0.06,ug/l,"8-4162-04 Kohanaiki MW400, HI",Well,20010000,19.69077778,-156.0344167,NAD83,7,feet,5,feet,Interpolated from Digital Elevation Model,LMSL
Water,Groundwater,7/24/2009,USGS-194128156015601,Submersible pump,Not Detected,Albuterol,Dissolved,NA,NA,"Pharmaceuticals, wf, Sch 2080",0.06,ug/l,"8-4161-11 Kohanaiki MW401, HI",Well,20010000,19.69125,-156.0323056,NAD83,16.58,feet,1,feet,Reported method of determination.,LMSL
Water,Surface Water,7/24/2009,USGS-194131156014801,Grab sample  (dip),Not Detected,Albuterol,Dissolved,NA,NA,"Pharmaceuticals, wf, Sch 2080",0.06,ug/l,"Kohanaiki irrigation pond, HI","Lake, Reservoir, Impoundment",20010000,19.69202778,-156.0300278,NAD83,NA,NA,NA,NA,NA,NA
Water,Surface Water,1/21/2014,USGS-194526155054301,Grab sample  (dip),Not Detected,Aldicarb,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.12,ug/l,"Kaiwiki Stream at Kahoa Street, HI",Stream,20010000,19.75730556,-155.0951667,NAD83,52,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/14/2014,USGS-194938155593601,Grab sample  (dip),Not Detected,Aldicarb,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.12,ug/l,"Palm Grove Anchiline Pool, Hualalai, HI",Spring,20010000,19.82702778,-155.9940278,NAD83,7,feet,5,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/14/2014,USGS-194938155593602,Grab sample  (dip),Not Detected,Aldicarb,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.12,ug/l,"Waikoloa Anch. Pool Preserve Area, Waikoloa, HI",Spring,20010000,19.9216111,-155.8883333,NAD83,7,feet,5,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-195020155063701,Grab sample  (dip),Not Detected,Aldicarb,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.12,ug/l,"Alia Stream at Kaupuea Homestead, Pepeekeo, HI",Stream,20010000,19.83888889,-155.1102778,NAD83,660,feet,20,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-195041155062201,Grab sample  (dip),Not Detected,Aldicarb,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.12,ug/l,"Makea Stream at Hwy 19, Pepeekeo, HI",Stream,20010000,19.84458333,-155.1037222,NAD83,443,feet,20,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-195144155054701,Grab sample  (dip),Not Detected,Aldicarb,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.12,ug/l,"Kapehu Stream near Old Railroad Way, Pepeekeo, HI",Stream,20010000,19.861,-155.0966667,NAD83,167,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,6/4/2018,USGS-195220155070001,Grab sample  (dip),Not Detected,Aldicarb,Dissolved,NA,NA,"Pesticides, wf, dir inj LC/MS/MS",8,ng/l,"Paheehee Str at Old Mamalahoa Hwy, HI",Stream,20010000,19.87216667,-155.1165833,NAD83,213,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,4/9/2019,USGS-195220155070001,Grab sample  (dip),Not Detected,Aldicarb,Dissolved,NA,NA,"Pesticides, wf, dir inj LC/MS/MS",25,ng/l,"Paheehee Str at Old Mamalahoa Hwy, HI",Stream,20010000,19.87216667,-155.1165833,NAD83,213,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,2/19/2019,USGS-195220155070001,Weighted bottle,Not Detected,Aldicarb,Dissolved,NA,NA,"Pesticides, wf, dir inj LC/MS/MS",8,ng/l,"Paheehee Str at Old Mamalahoa Hwy, HI",Stream,20010000,19.87216667,-155.1165833,NAD83,213,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-194526155054301,Grab sample  (dip),Not Detected,Aldicarb sulfone,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Kaiwiki Stream at Kahoa Street, HI",Stream,20010000,19.75730556,-155.0951667,NAD83,52,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/14/2014,USGS-194938155593601,Grab sample  (dip),Not Detected,Aldicarb sulfone,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Palm Grove Anchiline Pool, Hualalai, HI",Spring,20010000,19.82702778,-155.9940278,NAD83,7,feet,5,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/14/2014,USGS-194938155593602,Grab sample  (dip),Not Detected,Aldicarb sulfone,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Waikoloa Anch. Pool Preserve Area, Waikoloa, HI",Spring,20010000,19.9216111,-155.8883333,NAD83,7,feet,5,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-195020155063701,Grab sample  (dip),Not Detected,Aldicarb sulfone,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Alia Stream at Kaupuea Homestead, Pepeekeo, HI",Stream,20010000,19.83888889,-155.1102778,NAD83,660,feet,20,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-195041155062201,Grab sample  (dip),Not Detected,Aldicarb sulfone,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Makea Stream at Hwy 19, Pepeekeo, HI",Stream,20010000,19.84458333,-155.1037222,NAD83,443,feet,20,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-195144155054701,Grab sample  (dip),Not Detected,Aldicarb sulfone,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Kapehu Stream near Old Railroad Way, Pepeekeo, HI",Stream,20010000,19.861,-155.0966667,NAD83,167,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,6/4/2018,USGS-195220155070001,Grab sample  (dip),Not Detected,Aldicarb sulfone,Dissolved,NA,NA,"Pesticides, wf, dir inj LC/MS/MS",25,ng/l,"Paheehee Str at Old Mamalahoa Hwy, HI",Stream,20010000,19.87216667,-155.1165833,NAD83,213,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,4/9/2019,USGS-195220155070001,Grab sample  (dip),Not Detected,Aldicarb sulfone,Dissolved,NA,NA,"Pesticides, wf, dir inj LC/MS/MS",25,ng/l,"Paheehee Str at Old Mamalahoa Hwy, HI",Stream,20010000,19.87216667,-155.1165833,NAD83,213,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,2/19/2019,USGS-195220155070001,Weighted bottle,Not Detected,Aldicarb sulfone,Dissolved,NA,NA,"Pesticides, wf, dir inj LC/MS/MS",20,ng/l,"Paheehee Str at Old Mamalahoa Hwy, HI",Stream,20010000,19.87216667,-155.1165833,NAD83,213,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-194526155054301,Grab sample  (dip),Not Detected,Aldicarb sulfoxide,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Kaiwiki Stream at Kahoa Street, HI",Stream,20010000,19.75730556,-155.0951667,NAD83,52,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/14/2014,USGS-194938155593601,Grab sample  (dip),Not Detected,Aldicarb sulfoxide,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Palm Grove Anchiline Pool, Hualalai, HI",Spring,20010000,19.82702778,-155.9940278,NAD83,7,feet,5,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/14/2014,USGS-194938155593602,Grab sample  (dip),Not Detected,Aldicarb sulfoxide,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Waikoloa Anch. Pool Preserve Area, Waikoloa, HI",Spring,20010000,19.9216111,-155.8883333,NAD83,7,feet,5,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-195020155063701,Grab sample  (dip),Not Detected,Aldicarb sulfoxide,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Alia Stream at Kaupuea Homestead, Pepeekeo, HI",Stream,20010000,19.83888889,-155.1102778,NAD83,660,feet,20,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-195041155062201,Grab sample  (dip),Not Detected,Aldicarb sulfoxide,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Makea Stream at Hwy 19, Pepeekeo, HI",Stream,20010000,19.84458333,-155.1037222,NAD83,443,feet,20,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,1/21/2014,USGS-195144155054701,Grab sample  (dip),Not Detected,Aldicarb sulfoxide,Dissolved,NA,NA,"Pest, polar, wf, spe, HPLC-MS",0.08,ug/l,"Kapehu Stream near Old Railroad Way, Pepeekeo, HI",Stream,20010000,19.861,-155.0966667,NAD83,167,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,6/4/2018,USGS-195220155070001,Grab sample  (dip),Not Detected,Aldicarb sulfoxide,Dissolved,NA,NA,"Pesticides, wf, dir inj LC/MS/MS",2.2,ng/l,"Paheehee Str at Old Mamalahoa Hwy, HI",Stream,20010000,19.87216667,-155.1165833,NAD83,213,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,4/9/2019,USGS-195220155070001,Grab sample  (dip),Not Detected,Aldicarb sulfoxide,Dissolved,NA,NA,"Pesticides, wf, dir inj LC/MS/MS",2.5,ng/l,"Paheehee Str at Old Mamalahoa Hwy, HI",Stream,20010000,19.87216667,-155.1165833,NAD83,213,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,2/19/2019,USGS-195220155070001,Weighted bottle,Not Detected,Aldicarb sulfoxide,Dissolved,NA,NA,"Pesticides, wf, dir inj LC/MS/MS",5,ng/l,"Paheehee Str at Old Mamalahoa Hwy, HI",Stream,20010000,19.87216667,-155.1165833,NAD83,213,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Surface Water,5/4/1993,USGS-16737500,Equal width increment (ewi),Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,"WAIMANU STREAM NEAR KAMUELA, HI",Stream,20010000,20.1347111,-155.6397194,NAD83,4,feet,0.1,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,10/30/1992,USGS-16737500,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,"WAIMANU STREAM NEAR KAMUELA, HI",Stream,20010000,20.1347111,-155.6397194,NAD83,4,feet,0.1,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,7/30/1992,USGS-16737500,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,"WAIMANU STREAM NEAR KAMUELA, HI",Stream,20010000,20.1347111,-155.6397194,NAD83,4,feet,0.1,feet,Interpolated from topographic map.,LMSL
Water,Groundwater,8/22/1986,USGS-190347155354301,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Organochlorines, LL, wu, GC",0.001,ug/l,"8-0335-01 Naalehu (W1), HI",Well,20010000,19.06,-155.5925,NAD83,748.2,feet,1,feet,Reported method of determination.,LMSL
Water,Groundwater,10/13/1994,USGS-190423155371501,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,"8-0437-01 Waiohinu, HI",Well,20010000,19.06972222,-155.6183889,NAD83,1299.26,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,8/22/1986,USGS-193502155572301,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Organochlorines, LL, wu, GC",0.001,ug/l,"8-3557-05 Kahaluu Shaft, HI",Well,20010000,19.58133333,-155.9536306,NAD83,608,feet,10,feet,Interpolated from Digital Elevation Model,LMSL
Water,Groundwater,9/3/1997,USGS-194053156013001,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,"8-4061-01 KAHO Well 1, HI",Well,20010000,19.67835,-156.0222194,NAD83,36.68,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,3/4/1998,USGS-194120156013501,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,"8-4161-02 KAHO Well 2, HI",Well,20010000,19.68584444,-156.0236139,NAD83,53.33,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,9/3/1997,USGS-194125156015501,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,"8-4161-01 KAHO Well 3, HI",Well,20010000,19.68723889,-156.0291639,NAD83,22.96,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,9/4/1997,USGS-194315155584101,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,"8-4358-01 Kalaoa EX A, HI",Well,20010000,19.71776944,-155.9753,NAD83,1799,feet,20,feet,Reported method of determination.,LMSL
Water,Groundwater,9/2/1986,USGS-194318155061801,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Organochlorines, LL, wu, GC",0.001,ug/l,"8-4306-01 Piihonua W-1, HI",Well,20010000,19.71835833,-155.102225,NAD83,278,feet,20,feet,Reported method of determination.,LMSL
Water,Groundwater,8/27/1986,USGS-195939155464201,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Organochlorines, LL, wu, GC",0.001,ug/l,"8-5946-03 Lalamilo W-C, HI",Well,20010000,19.98967778,-155.776386,NAD83,1088,feet,20,feet,Reported method of determination.,LMSL
Water,Groundwater,3/18/1981,USGS-200518155281601,USGS,NA,Aldrin,Recoverable,0,ug/l,NA,NA,NA,"8-6528-01 Haina Well, HI",Well,20010000,20.08525833,-155.4683278,NAD83,854.66,feet,0.1,feet,Level or other surveyed method.,LMSL
Water,Groundwater,8/27/1986,USGS-200518155281601,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Organochlorines, LL, wu, GC",0.001,ug/l,"8-6528-01 Haina Well, HI",Well,20010000,20.08525833,-155.4683278,NAD83,854.66,feet,0.1,feet,Level or other surveyed method.,LMSL
Water,Groundwater,7/7/1989,USGS-201307155452001,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,8-7345-04 MAKAPALA,Well,20010000,20.21554722,-155.7527694,NAD83,395,feet,20,feet,Reported method of determination.,LMSL
Water,Groundwater,10/20/1989,USGS-201319155472301,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,"8-7347-05 Test Well-B Halaula Kohala, HI",Well,20010000,20.21872222,-155.7872222,NAD83,628.24,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,8/31/1989,USGS-201428155480201,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Pest, organochlorine,PCBs,GC-ECD",0.01,ug/l,8-7448-07 HONOPUEO,Well,20010000,20.23804722,-155.7977694,NAD83,414.76,feet,0.1,feet,Level or other surveyed method.,LMSL
Water,Groundwater,8/27/1986,USGS-201428155494201,USGS,Not Detected,Aldrin,Recoverable,NA,NA,"Organochlorines, LL, wu, GC",0.001,ug/l,"8-7449-02 Hawi W-H, HI",Well,20010000,20.23804722,-155.8255444,NAD83,541.4,feet,0.1,feet,Level or other surveyed method.,LMSL
Water,Groundwater,12/2/2009,USGS-194014156013301,Grab sample  (dip),Not Detected,Allyl chloride,Recoverable,NA,NA,"VOC, wu, acidified, GCMS",0.08,ug/l,"Kaloko Anchialine Pool 099, HI",Spring,20010000,19.67052778,-156.0258889,NAD83,3,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL
Water,Groundwater,7/28/2009,USGS-194014156013301,Grab sample  (dip),Not Detected,Allyl chloride,Recoverable,NA,NA,"VOC, wu, acidified, GCMS",0.08,ug/l,"Kaloko Anchialine Pool 099, HI",Spring,20010000,19.67052778,-156.0258889,NAD83,3,feet,4.3,feet,Interpolated from Digital Elevation Model,LMSL
Water,Groundwater,7/23/2009,USGS-194053156013001,Submersible pump,Not Detected,Allyl chloride,Recoverable,NA,NA,"VOC, wu, acidified, GCMS",0.08,ug/l,"8-4061-01 KAHO Well 1, HI",Well,20010000,19.67835,-156.0222194,NAD83,36.68,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,12/1/2009,USGS-194053156013001,Submersible pump,Not Detected,Allyl chloride,Recoverable,NA,NA,"VOC, wu, acidified, GCMS",0.08,ug/l,"8-4061-01 KAHO Well 1, HI",Well,20010000,19.67835,-156.0222194,NAD83,36.68,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,12/1/2009,USGS-194120156013501,Submersible pump,Not Detected,Allyl chloride,Recoverable,NA,NA,"VOC, wu, acidified, GCMS",0.08,ug/l,"8-4161-02 KAHO Well 2, HI",Well,20010000,19.68584444,-156.0236139,NAD83,53.33,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,7/23/2009,USGS-194120156013501,Submersible pump,Not Detected,Allyl chloride,Recoverable,NA,NA,"VOC, wu, acidified, GCMS",0.08,ug/l,"8-4161-02 KAHO Well 2, HI",Well,20010000,19.68584444,-156.0236139,NAD83,53.33,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,7/23/2009,USGS-194125156015501,Submersible pump,Not Detected,Allyl chloride,Recoverable,NA,NA,"VOC, wu, acidified, GCMS",0.08,ug/l,"8-4161-01 KAHO Well 3, HI",Well,20010000,19.68723889,-156.0291639,NAD83,22.96,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Surface Water,5/19/1993,USGS-16713000,Equal width increment (ewi),NA,Aluminum,Dissolved,30,ug/l,"Aluminum, wf, DCP-AES",NA,NA,"Wailuku River at Hilo, HI",Stream,20010000,19.72554167,-155.0916694,NAD83,80,feet,10,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,3/18/1993,USGS-16713000,USGS,NA,Aluminum,Dissolved,20,ug/l,"Aluminum, wf, DCP-AES",NA,NA,"Wailuku River at Hilo, HI",Stream,20010000,19.72554167,-155.0916694,NAD83,80,feet,10,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,8/5/1992,USGS-16713000,USGS,NA,Aluminum,Dissolved,40,ug/l,"Aluminum, wf, DCP-AES",NA,NA,"Wailuku River at Hilo, HI",Stream,20010000,19.72554167,-155.0916694,NAD83,80,feet,10,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,5/18/1993,USGS-16717000,Equal width increment (ewi),NA,Aluminum,Dissolved,60,ug/l,"Aluminum, wf, DCP-AES",NA,NA,"Honolii Stream nr Papaikou, HI",Stream,20010000,19.76433333,-155.1518333,NAD83,1540,feet,10,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,8/4/1992,USGS-16717000,USGS,NA,Aluminum,Dissolved,70,ug/l,"Aluminum, wf, DCP-AES",NA,NA,"Honolii Stream nr Papaikou, HI",Stream,20010000,19.76433333,-155.1518333,NAD83,1540,feet,10,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,5/4/1993,USGS-16737500,Equal width increment (ewi),NA,Aluminum,Recoverable,130,ug/l,"Aluminum, wu, DCP-AES",NA,NA,"WAIMANU STREAM NEAR KAMUELA, HI",Stream,20010000,20.1347111,-155.6397194,NAD83,4,feet,0.1,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,5/4/1993,USGS-16737500,Equal width increment (ewi),NA,Aluminum,Dissolved,50,ug/l,"Aluminum, wf, DCP-AES",NA,NA,"WAIMANU STREAM NEAR KAMUELA, HI",Stream,20010000,20.1347111,-155.6397194,NAD83,4,feet,0.1,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,10/30/1992,USGS-16737500,USGS,NA,Aluminum,Recoverable,110,ug/l,"Aluminum, wu, DCP-AES",NA,NA,"WAIMANU STREAM NEAR KAMUELA, HI",Stream,20010000,20.1347111,-155.6397194,NAD83,4,feet,0.1,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,10/30/1992,USGS-16737500,USGS,NA,Aluminum,Dissolved,10,ug/l,"Aluminum, wf, DCP-AES",NA,NA,"WAIMANU STREAM NEAR KAMUELA, HI",Stream,20010000,20.1347111,-155.6397194,NAD83,4,feet,0.1,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,7/30/1992,USGS-16737500,USGS,NA,Aluminum,Recoverable,230,ug/l,"Aluminum, wu, DCP-AES",NA,NA,"WAIMANU STREAM NEAR KAMUELA, HI",Stream,20010000,20.1347111,-155.6397194,NAD83,4,feet,0.1,feet,Interpolated from topographic map.,LMSL
Water,Surface Water,7/30/1992,USGS-16737500,USGS,NA,Aluminum,Dissolved,30,ug/l,"Aluminum, wf, DCP-AES",NA,NA,"WAIMANU STREAM NEAR KAMUELA, HI",Stream,20010000,20.1347111,-155.6397194,NAD83,4,feet,0.1,feet,Interpolated from topographic map.,LMSL
Water,Groundwater,10/13/1994,USGS-190423155371501,USGS,Not Detected,Aluminum,Recoverable,NA,NA,"Aluminum, wu, DCP-AES",10,ug/l,"8-0437-01 Waiohinu, HI",Well,20010000,19.06972222,-155.6183889,NAD83,1299.26,feet,0.01,feet,Level or other surveyed method.,LMSL
Water,Groundwater,3/20/2013,USGS-192646155532001,USGS,NA,Aluminum,Dissolved,3.6,ug/l,"Metals, wf, ICP-MS",NA,NA,"8-2653-01 Keei W-C, HI",Well,20010000,19.44305556,-155.886111,NAD83,882.9,feet,1,feet,Reported method of determination.,LMSL
Water,Groundwater,3/20/2013,USGS-192757155530101,USGS,NA,Aluminum,Dissolved,5,ug/l,"Metals, wf, ICP-MS",NA,NA,"8-2753-03 Keei D, HI",Well,20010000,19.46277778,-155.8808333,NAD83,1347,feet,20,feet,Reported method of determination.,LMSL
Water,Groundwater,7/20/1985,USGS-192849154533601,USGS,NA,Aluminum,Recoverable,990,ug/l,"Aluminum, USGS digest, extr, AAS",NA,NA,"8-2883-06 Kapoho St. 1-A, HI",Well,20010000,19.47722222,-154.8905556,NAD83,620,feet,20,feet,Interpolated from topographic map.,LMSL
Water,Groundwater,3/20/2013,USGS-193117155550802,USGS,NA,Aluminum,Dissolved,5.5,ug/l,"Metals, wf, ICP-MS",NA,NA,"8-3155-02 Halekii, HI",Well,20010000,19.51833333,-155.916111,NAD83,1750,feet,20,feet,Interpolated from Digital Elevation Model,LMSL
Water,Groundwater,8/9/1993,USGS-193209155553901,USGS,Not Detected,Aluminum,Recoverable,NA,NA,"Aluminum, wu, DCP-AES",10,ug/l,"8-3255-02 Kainaliu Test Well, HI",Well,20010000,19.53283889,-155.9247417,NAD83,1541.46,feet,1,feet,Reported method of determination.,LMSL
Water,Groundwater,8/9/1993,USGS-193209155553901,USGS,Not Detected,Aluminum,Dissolved,NA,NA,"Aluminum, wf, DCP-AES",10,ug/l,"8-3255-02 Kainaliu Test Well, HI",Well,20010000,19.53283889,-155.9247417,NAD83,1541.46,feet,1,feet,Reported method of determination.,LMSL
Water,Groundwater,3/20/2013,USGS-193659155571701,USGS,NA,Aluminum,Dissolved,3.1,ug/l,"Metals, wf, ICP-MS",NA,NA,"8-3657-01 N. Kona Holualoa, HI",Well,20010000,19.61333056,-155.9475194,NAD83,1121.85,feet,1,feet,Reported method of determination.,LMSL
Water,Groundwater,3/20/2013,USGS-193758155565101,USGS,NA,Aluminum,Dissolved,6.1,ug/l,"Metals, wf, ICP-MS",NA,NA,"8-3857-04 Waiaha, HI",Well,20010000,19.63277778,-155.9475,NAD83,1541.72,feet,1,feet,Reported method of determination.,LMSL
Water,Groundwater,3/20/2013,USGS-193902155570501,USGS,NA,Aluminum,Dissolved,6.1,ug/l,"Metals, wf, ICP-MS",NA,NA,"8-3957-05 Keopu Mauka, HI",Well,20010000,19.65058333,-155.9514444,NAD83,1601,feet,5,feet,Interpolated from topographic map.,LMSL
